^FINANCIAL,01/05/2015,1699.45,1705.21,1693.25,1703.57,757446,-48178
AUB,01/05/2015,68.8,68.8,68.75,68.8,42910,1861642
BDO,01/05/2015,110.1,110.1,109.2,110,1564620,19447289
BPI,01/05/2015,95.6,95.6,94.9,95,2234310,5071616
CHIB,01/05/2015,47.2,47.2,46.85,47,26400,122715
EW,01/05/2015,24,24.2,23.8,23.9,62200,0
MBT,01/05/2015,83,85.5,82.95,84,3637940,-50113416
PBB,01/05/2015,18.8,18.96,18.8,18.92,22700,0
PBC,01/05/2015,32,32,31.95,31.95,2000,0
PNB,01/05/2015,77.2,79.85,77.2,77.7,39530,-2423335
PSB,01/05/2015,106,106,102.9,102.9,170,0
RCB,01/05/2015,47.05,47.05,46.6,46.8,212600,-3218790
SECB,01/05/2015,148,152,148,152,290470,-18880357
UBP,01/05/2015,67.5,69.8,67.5,69.8,4090,0
BKR,01/05/2015,3.33,3.33,3.29,3.3,143000,0
BLFI,01/05/2015,2.11,2.11,2.11,2.11,3000,0
COL,01/05/2015,15.24,15.24,15.02,15.08,32800,15240
FAF,01/05/2015,0.79,0.79,0.79,0.79,40000,0
FFI,01/05/2015,6.83,7.3,6.83,7.3,1700,0
I,01/05/2015,1.76,1.85,1.75,1.85,6000,0
MED,01/05/2015,0.42,0.42,0.42,0.42,90000,0
MFC,01/05/2015,795,795,795,795,80,0
NRCP,01/05/2015,0.92,0.96,0.92,0.96,328000,0
PSE,01/05/2015,290.4,294,290.4,294,6220,0
SLF,01/05/2015,1535,1535,1535,1535,40,-61400
V,01/05/2015,2.92,2.98,2.92,2.95,118000,0
^INDUSTRIAL,01/05/2015,11979.27,12021.03,11918.92,11918.92,1677783,-313708
ACR,01/05/2015,2.03,2.03,1.95,1.95,4486000,-3935520
AP,01/05/2015,42.6,43,42.6,42.95,1517200,21442880
EDC,01/05/2015,8.34,8.64,8.34,8.5,34675100,45837241
FGEN,01/05/2015,25.65,26.15,25.4,26,1164800,159610
FPH,01/05/2015,88,88.65,88,88.35,139080,-1365971
H2O,01/05/2015,4.8,4.85,4.8,4.85,3000,0
MER,01/05/2015,255,256.6,254.6,256.6,64490,3013616
MWC,01/05/2015,29.05,29.3,28.7,29.15,612100,6670770
PCOR,01/05/2015,10.34,10.38,10.24,10.3,2709400,11744186
PNX,01/05/2015,3.1,3.17,3.09,3.17,686000,-592590
TA,01/05/2015,2.24,2.32,2.23,2.32,3396000,11250
ANI,01/05/2015,2.17,2.19,2.09,2.09,480000,-67890
CAT,01/05/2015,89.05,93.85,89.05,93.85,170,0
CNPF,01/05/2015,16.4,16.4,16.22,16.3,259100,3047996
DMPL,01/05/2015,15.48,15.64,15.48,15.62,43700,318888
DNL,01/05/2015,16.66,16.66,16.42,16.5,4233300,-15168640
EMP,01/05/2015,10.38,10.42,10.3,10.4,7057900,4444720
FOOD,01/05/2015,1.23,1.26,1.21,1.23,43000,0
GSMI,01/05/2015,15.88,15.88,15.88,15.88,200,0
JFC,01/05/2015,217,220.8,211,211,575280,-6842932
MAXS,01/05/2015,24,24.6,23.3,24.5,1726800,8158490
PF,01/05/2015,208,210.8,208,210,1420,-248848
PIP,01/05/2015,4.11,4.12,4.08,4.1,272000,-582600
RFM,01/05/2015,5.02,5.1,5.02,5.02,325800,-436542
ROX,01/05/2015,6.97,6.97,6.92,6.92,8100,0
SFI,01/05/2015,0.17,0.17,0.16,0.167,2280000,0
URC,01/05/2015,194.5,194.5,189.7,191,3263070,-364619283
VITA,01/05/2015,0.84,0.84,0.8,0.82,682000,0
VMC,01/05/2015,4.84,4.84,4.45,4.45,217000,0
ABG,01/05/2015,8.46,8.6,8,8.6,65800,-313980
CMT,01/05/2015,2.83,3.11,2.81,3.09,73053000,-25645010
DAVIN,01/05/2015,1.77,1.85,1.77,1.8,68000,1770
EEI,01/05/2015,11.1,11.1,10.9,11.02,205400,499062
FED,01/05/2015,16.5,16.5,16.48,16.48,10600,0
